time_s,r_eci_x_m,r_eci_y_m,r_eci_z_m,v_eci_x_mps,v_eci_y_mps,v_eci_z_mps,latitude_deg,longitude_deg,altitude_m,downrange_m,crossrange_m,speed_mps,radial_velocity_mps,tangential_velocity_mps,mass_kg,stage_id,thrust_N,pitch_ref_deg,azimuth_ref_deg,qw_ref,qx_ref,qy_ref,qz_ref,omega_ref_x_radps,omega_ref_y_radps,omega_ref_z_radps,rho_kgpm3,dynamic_pressure_Pa,drag_x_N,drag_y_N,drag_z_N
0,922757.968513834,-5530984.776603,3039308.3081731,403.325770542384,67.2885722356926,-0,28.458333,-80.528333,3,0,0,408.900267959225,0,408.900267959225,172000,1,2800000,90,87.5657509843602,-0.424089020840827,0.62648706819604,-0.298066506595408,0.5820814491387,3.47483523861151e-05,-6.40517851648068e-05,2.72303237792197e-06,1.22456772334743,0,-0,-0,-0
0.1,922798.305781175,-5530978.07585881,3039308.32362138,403.4195986907,66.7261816436356,0.309037090177495,28.4583329993618,-80.5283330000014,3.03255005273968,-3.15646836819641e-06,7.09729491732234e-05,408.900784333349,0.651151184086198,408.900265872453,171904.826486789,1,2800000,90,87.5657509843602,-0.424091143143602,0.626488154957698,-0.298064222389147,0.582079902879669,3.47483520286233e-05,-6.40517797777271e-05,2.72314363475904e-06,1.22456303397476,0.259607291810257,-0.126609435839686,0.758893316392053,-0.414846796194843
0.2,922838.652438053,-5530971.43139269,3039308.36999483,403.513561268304,66.1630106045706,0.61850341980325,28.4583329974472,-80.5283330000114,3.13026026263833,-1.31831209908864e-05,0.000283868488237588,408.902336317818,1.30320314440148,408.900259608299,171809.652973577,1,2800000,90,87.5657509843602,-0.424093265447033,0.626489241707413,-0.298061938186143,0.582078356608509,3.4748350959201e-05,-6.40517683510342e-05,2.72336611928984e-06,1.22454895731319,1.03985422473843,-0.507132340635466,3.03973656722087,-1.66166904887173
0.3,922879.00849791,-5530964.8432827,3039308.44733637,403.6076582858,65.5990591253077,0.928398988716987,28.4583329942563,-80.5283330000384,3.29322070721537,-3.09160656855021e-05,0.000638650023684839,408.904928204289,1.95615587644414,408.900249161017,171714.479460366,1,2800000,90,87.5657509843602,-0.424095387751076,0.626490328445163,-0.298059653986442,0.582076810325251,3.47483491784032e-05,-6.40517556131679e-05,2.7235885488646e-06,1.22452548070971,2.34286255092043,-1.14260290925817,6.84872840260794,-3.74386427349413
0.4,922919.373974192,-5530958.31160688,3039308.55568893,403.701889753209,65.0343272162662,1.23872379478619,28.458332989789,-80.5283330000912,3.52152146305889,-5.71925140649576e-05,0.00113528168988738,408.908564282315,2.61000937155874,408.900234524883,171619.305947155,1,2800000,90,87.5657509843602,-0.424097510055687,0.626491415170926,-0.298057369790093,0.582075264029927,3.47483466834546e-05,-6.40517415632956e-05,2.72381092154043e-06,1.22449259172871,4.17073272198739,-2.03404497687773,12.1920051857702,-6.66479597655815
0.5,922959.748880343,-5530951.83644327,3039308.69509544,403.796255679972,64.4688148914461,1.54947783392164,28.4583329840453,-80.5283330001781,3.81525260675699,-9.28514671453007e-05,0.0017737273614415,408.913248839202,3.26476361696876,408.900215694191,171524.132433944,1,2800000,90,87.5657509843602,-0.424099632360823,0.626492501884679,-0.29805508559714,0.582073717722568,3.47483434726896e-05,-6.40517261986415e-05,2.72403323592955e-06,1.22445027815283,6.52554365420702,-3.18247190469815,19.0756403067086,-10.4277932797788
0.6,923000.13322981,-5530945.41786991,3039308.86559881,403.890756074961,63.9025221683991,1.86066110009318,28.4583329770253,-80.5283330003079,4.17450421210378,-0.000138732268539442,0.00255394996727966,408.91898615987,3.92041859581003,408.900192663258,171428.958920732,1,2800000,90,87.5657509843602,-0.42410175466644,0.6264935885864,-0.298052801407632,0.582072171403207,3.47483395444429e-05,-6.40517095169855e-05,2.72425549258707e-06,1.22439852798431,9.40935249435968,-4.5888864660469,27.5056434980479,-15.0361505454444
0.7,923040.52703604,-5530939.05596485,3039309.06724197,403.985390946477,63.3354490681991,2.17227358534581,28.4583329687289,-80.5283330004891,4.59936635009944,-0.000195675914327347,0.00347591256376569,408.925780526709,4.57697428716446,408.900165426419,171333.785407521,1,2800000,90,87.5657509843602,-0.424103876972493,0.626494675276067,-0.298050517221615,0.582070625071875,3.47483349006576e-05,-6.40516915177723e-05,2.72447769012522e-06,1.22433732944612,12.8241943863764,-6.25428073283411,37.4879601531067,-20.4931270029841
0.8,923080.930312482,-5530932.75080611,3039309.30006783,404.080160302261,62.7675956154126,2.48431527981592,28.4583329591562,-80.5283330007303,5.08992909174412,-0.000264524372659515,0.00453957854011867,408.933636219437,5.23443066609456,408.900133978032,171238.61189431,1,2800000,90,87.5657509843602,-0.42410599927894,0.626495761953658,-0.298048233039137,0.582069078728603,3.47483295396682e-05,-6.40516721971161e-05,2.724699831042e-06,1.22426667098179,16.7720822387523,-8.17963596238998,49.028470646237,-26.8019463767686
0.9,923121.343072584,-5530926.50247174,3039309.56411933,404.175064149494,62.1989618380682,2.79678617174797,28.4583329483072,-80.5283330010402,5.64628250617534,-0.000346120405592267,0.00574490925879445,408.942557514954,5.8927877036783,408.900098312474,171143.438381098,1,2800000,90,87.5657509843602,-0.424108121585737,0.626496848619151,-0.298045948860245,0.582067532373424,3.47483234570338e-05,-6.40516515558496e-05,2.72492191283939e-06,1.22418654125815,21.2550064928029,-10.3659224847059,62.1329896556324,-33.9657965152537
